Surface-Form,Link,Part-of-Speech
children's book,https://en.wikipedia.org/wiki/children's_book,NNS POS NN
Graeme Base,https://en.wikipedia.org/wiki/Graeme_Base,NNP NNP
Synopsis,https://en.wikipedia.org/wiki/Synopsis,NN
alliterative,https://en.wikipedia.org/wiki/alliterative,JJ
alphabet,https://en.wikipedia.org/wiki/alphabet,NN
alligator,https://en.wikipedia.org/wiki/alligator,NN
butterfly,https://en.wikipedia.org/wiki/butterfly,NN
Related products,https://en.wikipedia.org/wiki/Related_products,JJ NNS
colouring book,https://en.wikipedia.org/wiki/colouring_book,VBG NN
H. N. Abrams,https://en.wikipedia.org/wiki/H._N._Abrams,NNP NNP NNP
Adaptations,https://en.wikipedia.org/wiki/Adaptations,NNS
television series,https://en.wikipedia.org/wiki/television_series,NN NN
Venezuela,https://en.wikipedia.org/wiki/Venezuela,NNP
Minimax,https://en.wikipedia.org/wiki/Minimax,NN
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic,NNP NNP
Slovakia,https://en.wikipedia.org/wiki/Slovakia,NN
Greece,https://en.wikipedia.org/wiki/Greece,NNP
ET1,https://en.wikipedia.org/wiki/ET1,NN
Australian Children's Television Foundation,https://en.wikipedia.org/wiki/Australian_Children's_Television_Foundation,JJ NNP POS NNP NNP
iPad,https://en.wikipedia.org/wiki/iPad,NN
iPhone,https://en.wikipedia.org/wiki/iPhone,NN
iPod Touch,https://en.wikipedia.org/wiki/iPod_Touch,NNS VBP
Awards,https://en.wikipedia.org/wiki/Awards,NNS
Children's Book Council of Australia,https://en.wikipedia.org/wiki/Children's_Book_Council_of_Australia,NNP POS NNP NNP IN NNP
References,https://en.wikipedia.org/wiki/References,NNS
External links,https://en.wikipedia.org/wiki/External_links,JJ NNS
Graeme Base's official website,https://en.wikipedia.org/wiki/Graeme_Base's_official_website,NNP NNP POS JJ NN
Animalia The Television Series official website,https://en.wikipedia.org/wiki/Animalia_The_Television_Series_official_website,IN DT NNP NNP NN NN
A Learning Time activity guide,https://en.wikipedia.org/wiki/A_Learning_Time_activity_guide,DT JJ NNP NN NN
Ayn Rand,https://en.wikipedia.org/wiki/Ayn_Rand,NNP NNP
Atlas Shrugged,https://en.wikipedia.org/wiki/Atlas_Shrugged,NNS VBD
Major characters,https://en.wikipedia.org/wiki/Major_characters,JJ NNS
Protagonists,https://en.wikipedia.org/wiki/Protagonists,NNS
Dagny Taggart,https://en.wikipedia.org/wiki/Dagny_Taggart,NNP NNP
protagonist,https://en.wikipedia.org/wiki/protagonist,NN
Francisco d'Anconia,https://en.wikipedia.org/wiki/Francisco_d'Anconia,NNP NN
copper,https://en.wikipedia.org/wiki/copper,NN
John Galt,https://en.wikipedia.org/wiki/John_Galt,NNP NNP
John Galt,https://en.wikipedia.org/wiki/John_Galt,NNP NNP
Henry \,https://en.wikipedia.org/wiki/Henry_\,NNP NN
alloy,https://en.wikipedia.org/wiki/alloy,NN
Philadelphia,https://en.wikipedia.org/wiki/Philadelphia,NNP
self-made man,https://en.wikipedia.org/wiki/self-made_man,JJ NN
theory of sex,https://en.wikipedia.org/wiki/theory_of_sex,NN IN NN
Eddie Willers,https://en.wikipedia.org/wiki/Eddie_Willers,NNP NNP
Ragnar Danneskjöld,https://en.wikipedia.org/wiki/Ragnar_Danneskjöld,NNP NNP
pirate,https://en.wikipedia.org/wiki/pirate,NN
film star,https://en.wikipedia.org/wiki/film_star,NN NN
Barbara Branden,https://en.wikipedia.org/wiki/Barbara_Branden,NNP NNP
Antagonists,https://en.wikipedia.org/wiki/Antagonists,NNS
James Taggart,https://en.wikipedia.org/wiki/James_Taggart,NNP NNP
Lillian Rearden,https://en.wikipedia.org/wiki/Lillian_Rearden,JJ NNP
Dr. Floyd Ferris,https://en.wikipedia.org/wiki/Dr._Floyd_Ferris,NNP NNP NNP
Dr. Robert Stadler,https://en.wikipedia.org/wiki/Dr._Robert_Stadler,NNP NNP NNP
J. Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer,NNP NNP NNP
nuclear weapons,https://en.wikipedia.org/wiki/nuclear_weapons,JJ NNS
Wesley Mouch,https://en.wikipedia.org/wiki/Wesley_Mouch,NNP NNP
Washington,https://en.wikipedia.org/wiki/Washington,NNP
Secondary characters,https://en.wikipedia.org/wiki/Secondary_characters,JJ NNS
Aristotle,https://en.wikipedia.org/wiki/Aristotle,NNP
Colorado,https://en.wikipedia.org/wiki/Colorado,NN
Inquisition,https://en.wikipedia.org/wiki/Inquisition,NN
misogynist,https://en.wikipedia.org/wiki/misogynist,NN
The Passion of Ayn Rand,https://en.wikipedia.org/wiki/The_Passion_of_Ayn_Rand,DT NNP IN NNP NNP
Fishwife,https://en.wikipedia.org/wiki/Fishwife,NN
Hitchcock-like,https://en.wikipedia.org/wiki/Hitchcock-like,NN
Phaethon,https://en.wikipedia.org/wiki/Phaethon,NN
hack,https://en.wikipedia.org/wiki/hack,NN
Midas,https://en.wikipedia.org/wiki/Midas,NNS
United States Constitution,https://en.wikipedia.org/wiki/United_States_Constitution,NNP NNPS NNP
pseudo-Buddhist,https://en.wikipedia.org/wiki/pseudo-Buddhist,NN
Head of the State,https://en.wikipedia.org/wiki/Head_of_the_State,NN IN DT NNP
Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman,NNP NNP NNP
See also,https://en.wikipedia.org/wiki/See_also,NNP RB
Companies in Atlas Shrugged,https://en.wikipedia.org/wiki/Companies_in_Atlas_Shrugged,NNS IN NNP VBD
Website with comprehensive list of individuals mentioned in Atlas Shrugged,https://en.wikipedia.org/wiki/Website_with_comprehensive_list_of_individuals_mentioned_in_Atlas_Shrugged,NNP IN JJ NN IN NNS VBN IN NNP VBD
Notes,https://en.wikipedia.org/wiki/Notes,NNS
References,https://en.wikipedia.org/wiki/References,NNS
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
OCLC,https://en.wikipedia.org/wiki/OCLC,NN
40359365,https://en.wikipedia.org/wiki/40359365,CD
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Early life,https://en.wikipedia.org/wiki/Early_life,JJ NN
"Toronto, Ontario","https://en.wikipedia.org/wiki/Toronto,_Ontario","NNP , NNP"
University of Notre Dame,https://en.wikipedia.org/wiki/University_of_Notre_Dame,NNP IN NNP NNP
Essanay Studios,https://en.wikipedia.org/wiki/Essanay_Studios,NNP NNP
East Coast,https://en.wikipedia.org/wiki/East_Coast,NNP NNP
Motion Picture Directors Association,https://en.wikipedia.org/wiki/Motion_Picture_Directors_Association,NNP NNP NNP NNP
Career,https://en.wikipedia.org/wiki/Career,NN
Flying A Studios,https://en.wikipedia.org/wiki/Flying_A_Studios,VBG DT NNS
"La Mesa, California","https://en.wikipedia.org/wiki/La_Mesa,_California","NNP NNP , NNP"
Flying A Studios,https://en.wikipedia.org/wiki/Flying_A_Studios,VBG DT NNS
