Surface-Form,Link,Part-of-Speech
musique médiévale,https://fr.wikipedia.org/wiki/musique_médiévale,NN NN
Discographie,https://fr.wikipedia.org/wiki/Discographie,NN
Voir aussi,https://fr.wikipedia.org/wiki/Voir_aussi,NNP NN
Liens externes,https://fr.wikipedia.org/wiki/Liens_externes,NNS NNS
Le site officiel,https://fr.wikipedia.org/wiki/Le_site_officiel,NNP NN NN
Le blog complémentaire au site officiel,https://fr.wikipedia.org/wiki/Le_blog_complémentaire_au_site_officiel,NNP NN NN IN NN NN
Argentine,https://fr.wikipedia.org/wiki/Argentine,NN
république,https://fr.wikipedia.org/wiki/république,NN
présidentielle,https://fr.wikipedia.org/wiki/présidentielle,NN
multipartite,https://fr.wikipedia.org/wiki/multipartite,NN
chef de l'État,https://fr.wikipedia.org/wiki/chef_de_l'État,NN IN FW
gouvernement,https://fr.wikipedia.org/wiki/gouvernement,NN
pouvoir exécutif,https://fr.wikipedia.org/wiki/pouvoir_exécutif,NN NN
pouvoir législatif,https://fr.wikipedia.org/wiki/pouvoir_législatif,NN NN
parlement,https://fr.wikipedia.org/wiki/parlement,NN
Pouvoir exécutif,https://fr.wikipedia.org/wiki/Pouvoir_exécutif,NNP NN
Historiquement,https://fr.wikipedia.org/wiki/Historiquement,NN
bipartisme,https://fr.wikipedia.org/wiki/bipartisme,NN
Parti justicialiste,https://fr.wikipedia.org/wiki/Parti_justicialiste,NNP NN
péroniste,https://fr.wikipedia.org/wiki/péroniste,NN
élections de 1973,https://fr.wikipedia.org/wiki/élections_de_1973,NNS IN CD
coup d'Etat de mars 1976,https://fr.wikipedia.org/wiki/coup_d'Etat_de_mars_1976,NN NN IN NNS CD
Union Civique Radicale,https://fr.wikipedia.org/wiki/Union_Civique_Radicale,NNP NNP NNP
Histoire,https://fr.wikipedia.org/wiki/Histoire,NN
19,https://fr.wikipedia.org/wiki/19,CD
avril,https://fr.wikipedia.org/wiki/avril,NN
2003,https://fr.wikipedia.org/wiki/2003,CD
Élection présidentielle 2003,https://fr.wikipedia.org/wiki/Élection_présidentielle_2003,NN NN CD
Jorge Altamira,https://fr.wikipedia.org/wiki/Jorge_Altamira,NNP NNP
Juan Carlos Arcagni,https://fr.wikipedia.org/wiki/Juan_Carlos_Arcagni,NNP NNP NNP
José Bonacci,https://fr.wikipedia.org/wiki/José_Bonacci,NNP NNP
Alfredo Bravo,https://fr.wikipedia.org/wiki/Alfredo_Bravo,NNP NNP
Elisa Carrió,https://fr.wikipedia.org/wiki/Elisa_Carrió,NNP NNP
Manuel Herrera,https://fr.wikipedia.org/wiki/Manuel_Herrera,NNP NNP
Néstor Kirchner,https://fr.wikipedia.org/wiki/Néstor_Kirchner,NNP NNP
Manuel Manusovich,https://fr.wikipedia.org/wiki/Manuel_Manusovich,NNP NNP
Mario Mazzitelli,https://fr.wikipedia.org/wiki/Mario_Mazzitelli,NNP NNP
Carlos Menem,https://fr.wikipedia.org/wiki/Carlos_Menem,NNP NNP
Leopoldo Moreau,https://fr.wikipedia.org/wiki/Leopoldo_Moreau,NNP NNP
Ricardo López Murphy,https://fr.wikipedia.org/wiki/Ricardo_López_Murphy,NNP NNP NNP
Ricardo Mussa,https://fr.wikipedia.org/wiki/Ricardo_Mussa,NNP NNP
Gustavo Breide Obeid,https://fr.wikipedia.org/wiki/Gustavo_Breide_Obeid,NNP NNP NNP
Adolfo Rodríguez Saá,https://fr.wikipedia.org/wiki/Adolfo_Rodríguez_Saá,NNP NNP NNP
Guillermo Sulling,https://fr.wikipedia.org/wiki/Guillermo_Sulling,NNP VBG
Enrique Venturino,https://fr.wikipedia.org/wiki/Enrique_Venturino,NNP NNP
Patricia Walsh,https://fr.wikipedia.org/wiki/Patricia_Walsh,NNP NNP
Carlos Zaffore,https://fr.wikipedia.org/wiki/Carlos_Zaffore,NNP NNP
Eduardo Duhalde,https://fr.wikipedia.org/wiki/Eduardo_Duhalde,NNP NNP
14 mai,https://fr.wikipedia.org/wiki/14_mai,CD NN
Mandat de Nestor Kirchner,https://fr.wikipedia.org/wiki/Mandat_de_Nestor_Kirchner,NNP FW NNP NNP
Nestor Kirchner,https://fr.wikipedia.org/wiki/Nestor_Kirchner,NNP NNP
crise financière de 2001,https://fr.wikipedia.org/wiki/crise_financière_de_2001,NN NN IN CD
Santa Cruz,https://fr.wikipedia.org/wiki/Santa_Cruz,NNP NNP
FMI,https://fr.wikipedia.org/wiki/FMI,NN
piqueteros,https://fr.wikipedia.org/wiki/piqueteros,NNS
Esteban Righi,https://fr.wikipedia.org/wiki/Esteban_Righi,NNP NNP
Héctor Cámpora,https://fr.wikipedia.org/wiki/Héctor_Cámpora,NNP NNP
procureur de la Nation,https://fr.wikipedia.org/wiki/procureur_de_la_Nation,NN IN FW NNP
élections générales de 2007,https://fr.wikipedia.org/wiki/élections_générales_de_2007,NNS NNS IN CD
Cristina Fernández de Kirchner,https://fr.wikipedia.org/wiki/Cristina_Fernández_de_Kirchner,NNP NNP IN NNP
élections générales de 2015,https://fr.wikipedia.org/wiki/élections_générales_de_2015,NNS NNS IN CD
Mauricio Macri,https://fr.wikipedia.org/wiki/Mauricio_Macri,NNP NNP
Extrême droite,https://fr.wikipedia.org/wiki/Extrême_droite,NNP NN
extrême droite,https://fr.wikipedia.org/wiki/extrême_droite,NN NN
Manuel Fresco,https://fr.wikipedia.org/wiki/Manuel_Fresco,NNP NNP
Mouvement nationaliste Tacuara,https://fr.wikipedia.org/wiki/Mouvement_nationaliste_Tacuara,NNP NN NNP
Adolf Eichmann,https://fr.wikipedia.org/wiki/Adolf_Eichmann,NNP NNP
Mossad,https://fr.wikipedia.org/wiki/Mossad,NN
national-catholicisme,https://fr.wikipedia.org/wiki/national-catholicisme,JJ
Julio Meinvielle,https://fr.wikipedia.org/wiki/Julio_Meinvielle,NNP NNP
Cité catholique,https://fr.wikipedia.org/wiki/Cité_catholique,NNP NN
Jean Ousset,https://fr.wikipedia.org/wiki/Jean_Ousset,JJ NNP
Maurras,https://fr.wikipedia.org/wiki/Maurras,NNS
Antonio Caggiano,https://fr.wikipedia.org/wiki/Antonio_Caggiano,NNP NNP
Cabildo,https://fr.wikipedia.org/wiki/Cabildo,NN
Révolution libératrice,https://fr.wikipedia.org/wiki/Révolution_libératrice,NNP NN
Révolution argentine,https://fr.wikipedia.org/wiki/Révolution_argentine,NNP NN
Alliance anticommuniste argentine,https://fr.wikipedia.org/wiki/Alliance_anticommuniste_argentine,NNP NN NN
Concentración Nacional Universitaria,https://fr.wikipedia.org/wiki/Concentración_Nacional_Universitaria,NNP NNP NNP
Jorge Rafael Videla,https://fr.wikipedia.org/wiki/Jorge_Rafael_Videla,NN NNP NNP
escadrons de la mort,https://fr.wikipedia.org/wiki/escadrons_de_la_mort,NNS VBP FW NN
transition démocratique,https://fr.wikipedia.org/wiki/transition_démocratique,NN NN
Carapintadas,https://fr.wikipedia.org/wiki/Carapintadas,NNS
Partido Nuevo Triunfo,https://fr.wikipedia.org/wiki/Partido_Nuevo_Triunfo,NNP NNP NNP
Alejandro Biondini,https://fr.wikipedia.org/wiki/Alejandro_Biondini,NNP NNP
Cour suprême,https://fr.wikipedia.org/wiki/Cour_suprême,NNP NN
Partido Popular por la Reconstrucción,https://fr.wikipedia.org/wiki/Partido_Popular_por_la_Reconstrucción,NNP NNP NN NN NNP
cette dernière,https://fr.wikipedia.org/wiki/cette_dernière,NN NN
Al-Khawarizmi,https://fr.wikipedia.org/wiki/Al-Khawarizmi,JJ
algorithmique,https://fr.wikipedia.org/wiki/algorithmique,NN
cryptographie,https://fr.wikipedia.org/wiki/cryptographie,NN
routage,https://fr.wikipedia.org/wiki/routage,NN
informations,https://fr.wikipedia.org/wiki/informations,NNS
planification,https://fr.wikipedia.org/wiki/planification,NN
traitement d'images,https://fr.wikipedia.org/wiki/traitement_d'images,NN NNS
traitement de texte,https://fr.wikipedia.org/wiki/traitement_de_texte,NN IN NN
bio-informatique,https://fr.wikipedia.org/wiki/bio-informatique,NN
Définition générale,https://fr.wikipedia.org/wiki/Définition_générale,NNP NN
instance,https://fr.wikipedia.org/wiki/instance,NN
l'efficacité,https://fr.wikipedia.org/wiki/l'efficacité,NN
méthode de Monte-Carlo,https://fr.wikipedia.org/wiki/méthode_de_Monte-Carlo,NN IN NNP
scalabilité,https://fr.wikipedia.org/wiki/scalabilité,NN
complexité algorithmique,https://fr.wikipedia.org/wiki/complexité_algorithmique,NN NN
Quelques définitions connexes,https://fr.wikipedia.org/wiki/Quelques_définitions_connexes,NNS NNS NNS
Donald Knuth,https://fr.wikipedia.org/wiki/Donald_Knuth,NNP NNP
George Boolos,https://fr.wikipedia.org/wiki/George_Boolos,NNP NNP
Gérard Berry,https://fr.wikipedia.org/wiki/Gérard_Berry,NNP NNP
Algorithmes numériques,https://fr.wikipedia.org/wiki/Algorithmes_numériques,NNS NNS
multiplication,https://fr.wikipedia.org/wiki/multiplication,NN
formalisés,https://fr.wikipedia.org/wiki/formalisés,NN
logique mathématique,https://fr.wikipedia.org/wiki/logique_mathématique,NN NN
ordinateurs,https://fr.wikipedia.org/wiki/ordinateurs,NNS
Algorithmes non numériques,https://fr.wikipedia.org/wiki/Algorithmes_non_numériques,NNS VBP NNS
chiffrement,https://fr.wikipedia.org/wiki/chiffrement,NN
Liste de sujets généraux sur les algorithmes,https://fr.wikipedia.org/wiki/Liste_de_sujets_généraux_sur_les_algorithmes,NNP FW FW FW NN NNS NNS
Algorithmes dans la vie quotidienne,https://fr.wikipedia.org/wiki/Algorithmes_dans_la_vie_quotidienne,NNS NNS VBP JJ NN
recette de cuisine,https://fr.wikipedia.org/wiki/recette_de_cuisine,NN FW NN
tissage,https://fr.wikipedia.org/wiki/tissage,NN
métier Jacquard,https://fr.wikipedia.org/wiki/métier_Jacquard,JJR NNP
casse-tête,https://fr.wikipedia.org/wiki/casse-tête,NN
Rubik's Cube,https://fr.wikipedia.org/wiki/Rubik's_Cube,NNP POS NNP
Algorithme (sport),https://fr.wikipedia.org/wiki/Algorithme_(sport),NNP ( NN )
mathématiques,https://fr.wikipedia.org/wiki/mathématiques,NNS
structures algébriques,https://fr.wikipedia.org/wiki/structures_algébriques,NNS NNS
algèbre élémentaire,https://fr.wikipedia.org/wiki/algèbre_élémentaire,NN NN
calcul algébrique,https://fr.wikipedia.org/wiki/calcul_algébrique,NN NN
formules,https://fr.wikipedia.org/wiki/formules,NNS
